Code,Label,Topic,scale
v161,do you justify: artificial insemination or in-vitro fertilization (Q44M),norms2,10
v162,do you justify: political violence (Q44N),norms1,10
v163,do you justify: death penalty (Q44O),norms2,10
v164,how close do you feel: to own town/city (Q45A),belong,4
v165,"how close do you feel: to your [county, region, district] (Q45B)",belong,4
v166,how close do you feel: to [country] (Q45C),belong,4
v167,how close do you feel: to [continent] (Q45D),belong,4
v168,how close do you feel: to world (Q45E),NA,4
v176,how often in country's elections: votes are counted fairly (Q50A),elections,4
v177,how often in country's elections: opposition candidates are prevented from runni,elections,4
v178,how often in country's elections: TV news favors the governing party (Q50C),elections,4
v179,how often in country's elections: voters are bribed (Q50D),elections,4
v180,how often in country's elections: journalists provide fair coverage of elections,elections,4
v181,how often in country's elections: election officials are fair (Q50F),elections,4
v182,how often in country's elections: rich people buy elections (Q50G),elections,4
v183,how often in country's elections: voters are threatened with violence at the pol,elections,4
v185,immigrants take away jobs from [nationality] (Q52A),immigration,10
v186,immigrants increase crime problems (Q52B),immigration,10
v187,immigrants are a strain on welfare system (Q52C),immigration,10
v188,better if immigrants maintain/not maintain own customs (Q52D),immigration,10
v189,important: to have been born in [country] (Q53A),national,4
v190,important: to respect [country nationality] political institutions and laws (Q53,NA,4
v191,important: to have [country nationality] ancestry (Q53C),national,4
v192,important: to be able to speak [national language] (Q53D),national,4
v193,important: to share [national] culture (Q53E),national,4
v194,important: to be born in Europe (Q54A),european,4
v195,important: to have European ancestry (Q54B),european,4
v196,important: to be a Christian (Q54C),european,4
v197,important: to share European culture (Q54D),european,4
v199,environment: giving part of income (Q56A),environment,5
v200,environment: too difficult for me to do much (Q56B),environment,5
v201,environment: there are more important things to do (Q56C),environment,5
v202,environment: no point unless others do the same (Q56D),environment,5
v203,environment: environmental threats are exaggerated (Q56E),environment,5
v205,government: public area under video surveillance (Q58A),surveillance,4
v206,government: monitor all information exchanged on the internet (Q58B),surveillance,4
v207,government: collect information about anyone without their knowledge (Q58C),surveillance,4
v208,how often do you follow politics: on television (Q59A),pol_watch,5
v209,how often do you follow politics: on the radio (Q59B),pol_watch,5
v210,how often do you follow politics: in the daily papers (Q59C),pol_watch,5
v211,how often do you follow politics: on social media (Q59D),pol_watch,5
v212,are you concerned with: people neighbourhood (Q60A),concern,5
v213,are you concerned with: people own region (Q60B),concern,5
v214,are you concerned with: fellow countrymen (Q60C),concern,5
v215,are you concerned with: Europeans (Q60D),concern,5
v216,are you concerned with: humankind (Q60E),concern,5
v217,are you concerned with: elderly people (Q61A),concern_grp,5
v218,are you concerned with: unemployed people (Q61B),concern_grp,5
v219,are you concerned with: immigrants (Q61C),NA,5
v220,are you concerned with: sick and disabled (Q61D),concern_grp,5
v221,important: eliminating income inequalities (Q62A),society,4
v222,important: basic needs for all (Q62B),society,4
v223,important: recognizing people on merits (Q62C),society,4
v224,important: protecting against terrorism (Q62D),society,4
v267,"at age 14, mother liked to read books (Q104A)",childhood,4
v268,"at age 14, discussed politics with mother (Q104B)",childhood,4
v269,"at age 14, mother liked to follow the news (Q104C)",childhood,4
v270,"at age 14, parent(s) had problems making ends meet (Q104D)",NA,4
v271,"at age 14, father liked to read books (Q104E)",childhood,4
v272,"at age 14, discussed politics with father (Q104F)",childhood,4
v273,"at age 14, father liked to follow the news (Q104G)",childhood,4
v274,"at age 14, parent(s) had problems replacing broken things (Q104H)",NA,4
